order_id,product_id,quantity,unit_price
1,6,3,4999
1,3,1,2499
1,17,3,749
2,8,1,999
2,4,2,1299
3,15,3,3199
3,19,2,999
3,20,1,849
3,11,2,2799
4,12,3,1499
5,3,2,2499
5,20,2,849
5,17,3,749
6,17,1,749
6,5,2,2999
6,2,3,3499
6,15,1,3199
7,12,2,1499
7,20,2,849
8,3,3,2499
8,11,3,2799
8,4,2,1299
9,3,2,2499
9,19,2,999
9,5,3,2999
10,11,3,2799
10,5,3,2999
10,17,2,749
10,3,3,2499
11,7,1,3299
11,8,2,999
11,5,1,2999
11,18,3,699
12,20,1,849
12,13,1,2999
13,12,3,1499
13,8,2,999
13,15,1,3199
13,10,3,1599
14,15,3,3199
14,10,2,1599
14,13,1,2999
14,17,1,749
15,18,1,699
15,4,2,1299
15,17,1,749
16,8,2,999
17,13,2,2999
17,3,1,2499
18,5,2,2999
18,2,2,3499
19,9,1,699
20,8,1,999
20,10,1,1599
20,4,2,1299
21,17,3,749
22,19,1,999
22,14,3,799
23,13,2,2999
24,12,1,1499
25,6,3,4999
25,15,1,3199
25,16,1,899
26,11,2,2799
27,10,1,1599
27,12,3,1499
28,13,3,2999
28,11,2,2799
28,6,2,4999
28,16,3,899
29,18,2,699
29,10,1,1599
30,6,1,4999
30,15,3,3199
30,12,2,1499
30,19,3,999
31,12,1,1499
31,17,3,749
31,6,3,4999
31,1,2,1999
32,19,2,999
32,2,2,3499
32,5,2,2999
32,15,1,3199
33,8,3,999
33,4,1,1299
33,1,2,1999
34,7,1,3299
34,10,1,1599
34,16,1,899
34,20,2,849
35,18,3,699
36,12,1,1499
36,17,1,749
37,15,3,3199
37,18,1,699
37,5,1,2999
38,5,2,2999
39,5,3,2999
39,14,1,799
40,12,2,1499
40,17,1,749
41,20,3,849
41,18,3,699
41,3,1,2499
42,19,1,999
42,2,1,3499
42,1,3,1999
43,16,3,899
44,10,1,1599
44,15,2,3199
44,3,2,2499
44,2,2,3499
45,12,2,1499
45,13,3,2999
45,5,3,2999
46,5,1,2999
46,4,2,1299
47,7,3,3299
47,6,2,4999
47,16,2,899
48,7,2,3299
48,19,1,999
49,18,2,699
49,1,1,1999
49,4,2,1299
50,12,2,1499
50,18,1,699
51,5,1,2999
52,20,2,849
52,17,3,749
53,5,3,2999
53,17,2,749
53,20,1,849
53,11,2,2799
54,19,2,999
54,10,2,1599
54,16,3,899
54,1,1,1999
55,9,3,699
55,19,2,999
55,8,1,999
55,2,3,3499
56,7,1,3299
57,17,3,749
57,16,1,899
57,2,3,3499
57,5,2,2999
58,18,3,699
58,12,2,1499
58,9,1,699
59,16,2,899
59,11,2,2799
60,13,1,2999
60,12,2,1499
60,5,3,2999
60,10,1,1599
61,18,3,699
61,9,3,699
62,2,1,3499
62,17,3,749
63,5,1,2999
64,10,2,1599
64,11,3,2799
65,6,2,4999
66,2,3,3499
66,1,3,1999
66,10,1,1599
67,17,2,749
67,15,1,3199
68,1,2,1999
68,11,3,2799
69,3,1,2499
69,13,1,2999
69,4,2,1299
70,11,2,2799
70,10,3,1599
70,1,2,1999
71,17,2,749
71,10,3,1599
71,4,1,1299
71,19,1,999
72,18,1,699
72,16,3,899
72,20,3,849
72,7,1,3299
73,2,3,3499
74,4,3,1299
74,7,2,3299
74,16,1,899
74,3,2,2499
75,10,1,1599
75,1,3,1999
75,13,1,2999
75,9,3,699
76,3,2,2499
77,12,2,1499
77,13,1,2999
77,15,3,3199
77,19,3,999
78,17,1,749
78,5,2,2999
78,8,2,999
78,1,3,1999
79,5,3,2999
79,9,1,699
79,7,1,3299
80,20,1,849
81,13,2,2999
82,19,3,999
82,11,3,2799
83,10,3,1599
83,9,3,699
83,2,2,3499
83,6,3,4999
84,14,2,799
84,20,2,849
84,5,1,2999
85,15,3,3199
