order_id,customer_id,order_date,status,discount,shipping_fee,total_amount
1,446,2025-06-08 23:21:00,Completed,2961.45,0,16781.55
2,464,2025-06-28 11:46:00,Returned,0,0,3597
3,309,2025-03-20 20:04:00,Completed,0,0,18042
4,227,2025-11-20 09:50:00,Completed,0,0,4497
5,237,2025-08-20 01:03:00,Completed,1341.45,0,7601.55
6,231,2025-10-20 20:12:00,Completed,3066.45,0,17376.55
7,21,2025-05-07 22:28:00,Completed,469.6,0,4226.4
8,348,2025-11-03 01:50:00,Returned,924.6,0,17567.4
9,371,2025-12-03 19:55:00,Completed,1599.3,0,14393.7
10,305,2025-12-29 02:19:00,Cancelled,1319.45,0,25069.55
11,186,2025-06-08 05:13:00,Completed,1558.95,0,8834.05
12,20,2025-12-05 10:56:00,Cancelled,0,0,3848
13,415,2025-03-26 23:28:00,Completed,0,0,14491
14,495,2025-08-29 06:23:00,Returned,2481.45,0,14061.55
15,447,2025-05-09 01:41:00,Completed,0,0,4046
16,231,2025-09-20 04:53:00,Completed,99.9,0,1898.1
17,213,2025-01-28 12:32:00,Completed,0,0,8497
18,477,2025-02-20 22:41:00,Completed,0,0,12996
19,230,2025-11-12 00:57:00,Completed,0,79,778
20,482,2025-11-08 16:27:00,Completed,779.4,0,4416.6
21,33,2025-02-26 15:38:00,Cancelled,0,0,2247
22,150,2025-08-08 00:39:00,Completed,0,0,3396
23,500,2025-07-04 02:33:00,Cancelled,0,0,5998
24,192,2025-05-10 23:01:00,Completed,0,79,1578
25,377,2025-06-20 04:02:00,Completed,0,0,19095
26,19,2025-05-31 06:02:00,Completed,839.7,0,4758.3
27,418,2025-10-06 15:16:00,Completed,304.8,0,5791.2
28,64,2025-07-08 13:56:00,Completed,1364.5,0,25925.5
29,373,2025-08-06 02:27:00,Cancelled,0,0,2997
30,339,2025-06-01 09:28:00,Cancelled,2059.1,0,18531.9
31,328,2025-01-30 02:42:00,Returned,0,0,22741
32,35,2025-05-01 20:23:00,Completed,2728.95,0,15464.05
33,272,2025-07-07 12:20:00,Returned,1244.1,0,7049.9
34,468,2025-10-15 03:16:00,Completed,0,0,7495
35,45,2025-12-16 10:42:00,Completed,104.85,0,1992.15
36,436,2025-03-22 22:45:00,Returned,0,0,2248
37,122,2025-09-10 00:23:00,Cancelled,664.75,0,12630.25
38,368,2025-09-03 16:26:00,Completed,0,0,5998
39,239,2025-12-15 16:22:00,Completed,0,0,9796
40,79,2025-06-05 05:10:00,Completed,187.35,0,3559.65
41,326,2025-10-10 08:08:00,Returned,1071.45,0,6071.55
