order_id,payment_method,amount,payment_status
1,Credit Card,16781.55,Paid
2,Credit Card,3597,Refunded
3,Net Banking,18042,Paid
4,Debit Card,4497,Paid
5,UPI,7601.55,Paid
6,Credit Card,17376.55,Paid
7,Debit Card,4226.4,Paid
8,Debit Card,17567.4,Refunded
9,Credit Card,14393.7,Paid
10,UPI,0,Failed
11,Cash on Delivery,8834.05,Paid
12,Cash on Delivery,0,Failed
13,Debit Card,14491,Paid
14,Credit Card,14061.55,Refunded
15,Debit Card,4046,Paid
16,UPI,1898.1,Paid
17,Debit Card,8497,Paid
18,Net Banking,12996,Paid
19,Cash on Delivery,778,Paid
20,Net Banking,4416.6,Paid
21,Credit Card,0,Failed
22,Cash on Delivery,3396,Paid
23,Net Banking,0,Failed
24,Cash on Delivery,1578,Paid
25,Net Banking,19095,Paid
26,Net Banking,4758.3,Paid
27,Debit Card,5791.2,Paid
28,UPI,25925.5,Paid
29,Debit Card,0,Failed
30,Debit Card,0,Failed
31,Credit Card,22741,Refunded
32,Credit Card,15464.05,Paid
33,Net Banking,7049.9,Refunded
34,Net Banking,7495,Paid
35,Debit Card,1992.15,Paid
36,Credit Card,2248,Refunded
37,Net Banking,0,Failed
38,Net Banking,5998,Paid
39,Cash on Delivery,9796,Paid
40,Credit Card,3559.65,Paid
41,Cash on Delivery,6071.55,Refunded
42,Debit Card,8920.75,Refunded
43,Debit Card,0,Failed
44,Credit Card,17993.7,Refunded
45,Debit Card,20992,Refunded
46,Cash on Delivery,5037.3,Paid
47,Net Banking,20608.35,Paid
48,Debit Card,7597,Paid
49,Net Banking,5695.25,Paid
50,Cash on Delivery,0,Failed
51,Debit Card,0,Failed
52,UPI,3945,Paid
53,Debit Card,14400.7,Paid
54,Cash on Delivery,0,Failed
55,Net Banking,0,Failed
56,Debit Card,0,Failed
57,Cash on Delivery,17676.9,Paid
58,Debit Card,0,Failed
59,Debit Card,6286.6,Paid
60,Net Banking,0,Failed
61,Credit Card,3984.3,Paid
62,UPI,5746,Paid
63,Credit Card,2549.15,Paid
64,UPI,11595,Refunded
65,UPI,9998,Refunded
66,Debit Card,17188.35,Refunded
67,Debit Card,4697,Paid
68,Credit Card,12395,Refunded
69,Credit Card,7691.2,Paid
70,UPI,14393,Paid
71,Net Banking,8593,Paid
72,Net Banking,7855.7,Paid
73,Credit Card,0,Failed
74,Cash on Delivery,16392,Paid
75,UPI,0,Failed
76,Debit Card,0,Failed
77,Credit Card,15802.35,Refunded
78,Net Banking,0,Failed
79,Cash on Delivery,11695.5,Paid
80,Cash on Delivery,843.1,Paid
81,Cash on Delivery,5998,Refunded
82,Credit Card,10824.3,Paid
83,UPI,26000.1,Paid
84,Net Banking,5350.75,Paid
85,Cash on Delivery,14935.5,Refunded
86,Cash on Delivery,10596,Paid
87,Cash on Delivery,2124.15,Paid
88,Credit Card,11063.7,Paid
89,Cash on Delivery,6296.4,Paid
90,Cash on Delivery,13193,Paid
91,Credit Card,3036.2,Paid
92,Credit Card,0,Failed
93,UPI,0,Failed
94,Net Banking,4673.3,Refunded
95,Cash on Delivery,7877.4,Refunded
96,Debit Card,8112.4,Refunded
97,Cash on Delivery,2698.2,Paid
98,Net Banking,3149.1,Refunded
99,Net Banking,4499.1,Refunded
100,Net Banking,928.15,Paid
101,Credit Card,9998,Paid
102,Credit Card,1359.15,Paid
103,UPI,0,Failed
104,Net Banking,0,Failed
105,UPI,1698,Paid
106,UPI,8797,Refunded
107,Net Banking,2999,Paid
108,Cash on Delivery,1899.05,Paid
109,Cash on Delivery,10363.2,Paid
110,Debit Card,2877.3,Paid
111,UPI,5393.7,Paid
112,Cash on Delivery,19418.95,Paid
113,Cash on Delivery,12955.5,Paid
114,Credit Card,24021.0,Paid
115,UPI,13491.9,Paid
116,Credit Card,15382.4,Paid
117,Cash on Delivery,9939.05,Refunded
118,UPI,9131.4,Paid
119,Cash on Delivery,6196,Refunded
120,Credit Card,19493,Paid
121,Net Banking,0,Failed
122,Credit Card,22792,Refunded
123,Debit Card,7097,Paid
124,Cash on Delivery,12437.4,Paid
125,Credit Card,1998,Paid
126,Cash on Delivery,18241,Paid
